0;0;0;0;16
16;0;0;2;2
18;0;0;4;2
20;0;0;6;2
22;0;0;8;2
24;0;0;10;2
26;0;0;12;2
28;0;0;14;2
30;0;0;16;2
0;0;3;26;2
2;0;3;24;2
4;0;3;22;2
6;0;3;20;2
8;0;3;18;2
10;0;3;16;2
12;0;3;14;2
14;0;3;12;2
16;0;3;10;2
18;0;3;8;2
20;0;3;6;2
22;0;3;4;2
24;0;3;2;2
26;0;3;0;2
4;0;7;0;2
6;0;7;2;2
8;0;7;4;2
10;0;7;6;2
12;0;7;8;2
14;0;7;10;2
16;0;7;12;2
18;0;7;14;2
20;0;7;16;2
22;0;7;18;2
24;0;7;20;2
26;0;7;22;2
28;0;7;24;2
30;0;7;26;2
0;0;11;26;2
2;0;11;24;2
4;0;11;22;2
6;0;11;20;2
8;0;11;18;2
10;0;11;16;2
12;0;11;14;2
14;0;11;12;2
16;0;11;10;2
18;0;11;8;2
20;0;11;6;2
22;0;11;4;2
24;0;11;2;2
26;0;11;0;2
4;0;15;0;2
6;0;15;2;2
8;0;15;4;2
10;0;15;6;2
12;0;15;8;2
14;0;15;10;2
16;0;15;12;2
18;0;15;14;2
20;0;15;16;2
22;0;15;18;2
24;0;15;20;2
26;0;15;22;2
28;0;15;24;2
30;0;15;26;2
0;0;19;8;2
2;0;19;8;2
4;0;19;8;2
6;0;19;8;2
8;0;19;8;2
10;0;19;8;2
12;0;19;8;2
14;0;19;8;2
16;0;19;8;2
18;0;19;8;2
20;0;19;6;2
22;0;19;4;2
24;0;19;2;2
26;0;19;0;2
12;0;23;0;2
14;0;23;0;2
16;0;23;0;2
