12;0;0;2;3
12;0;3;-8;1
24;0;0;12;5
6;0;3;22;7
16;0;3;12;9
10;0;7;8;3
10;0;11;-6;1
18;0;7;16;8
25;0;7;22;7
0;0;11;26;2
2;0;11;24;2
4;0;11;22;2
6;0;11;20;2
8;0;11;18;2
10;0;11;16;2
12;0;11;14;2
14;0;11;12;2
16;0;11;10;2
18;0;11;8;2
20;0;11;6;2
22;0;11;4;2
24;0;11;2;2
26;0;11;0;2
4;0;15;0;2
6;0;15;2;2
8;0;15;4;2
10;0;15;6;2
12;0;15;8;2
14;0;15;10;2
16;0;15;12;2
18;0;15;14;2
20;0;15;16;2
22;0;15;18;2
24;0;15;20;2
26;0;15;22;2
28;0;15;24;2
30;0;15;26;2
0;0;19;8;2
2;0;19;8;2
4;0;19;8;2
6;0;19;8;2
8;0;19;8;2
10;0;19;8;2
12;0;19;8;2
14;0;19;8;2
16;0;19;8;2
18;0;19;8;2
20;0;19;6;2
22;0;19;4;2
24;0;19;2;2
26;0;19;0;2
12;0;23;0;2
14;0;23;0;2
16;0;23;0;2
